aforo,nombre_seccion,grado_id,sede_id
35,LightGray,10,328
42,GoldenRod,0,149
37,MediumBlue,10,192
44,LavenderBlush,0,395
40,LavenderBlush,4,57
34,SlateBlue,4,273
39,Red,7,99
49,RoyalBlue,7,355
37,DarkSlateBlue,7,308
49,Yellow,8,108
40,Sienna,5,360
41,LightSteelBlue,0,57
41,PaleGreen,10,367
38,LightCyan,8,250
48,Crimson,0,286
37,Khaki,6,329
32,DarkBlue,7,258
48,Sienna,2,99
44,SpringGreen,1,229
40,LightYellow,8,382
44,PaleGoldenRod,9,398
31,MidnightBlue,4,51
32,Orange,9,60
49,CornflowerBlue,4,79
38,CadetBlue,0,75
45,LightSeaGreen,7,68
36,NavajoWhite,2,73
40,LightSkyBlue,1,342
31,Silver,6,18
43,SaddleBrown,4,97
32,AntiqueWhite,9,126
44,DeepSkyBlue,4,226
31,Crimson,7,388
50,Azure,10,115
47,Bisque,0,391
34,LawnGreen,7,374
32,Black,2,85
47,PaleGoldenRod,10,283
34,Peru,5,175
38,RoyalBlue,7,126
41,SlateGray,3,317
36,CornflowerBlue,1,121
35,LightSalmon,1,386
32,Aquamarine,9,62
36,DarkGoldenRod,9,22
30,SteelBlue,8,7
34,SeaShell,0,28
36,Green,0,393
34,Fuchsia,5,87
39,Aquamarine,0,138
50,Black,6,150
49,FireBrick,6,79
42,Wheat,10,287
43,Salmon,7,267
32,MintCream,9,349
36,MistyRose,6,357
45,Orange,6,340
49,Linen,10,259
38,Brown,3,319
44,LightCoral,3,39
38,Khaki,9,383
33,Orchid,7,318
37,PaleGreen,4,251
39,PaleGreen,10,347
49,SaddleBrown,8,225
48,Green,6,364
36,Maroon,1,78
46,Black,1,173
46,LawnGreen,5,42
37,Lavender,5,263
50,Red,4,383
34,DarkMagenta,1,116
39,Lime,0,190
38,LightPink,7,375
45,GhostWhite,1,119
39,MediumSlateBlue,6,366
31,CadetBlue,7,336
40,MidnightBlue,9,157
46,RoyalBlue,3,326
46,BlanchedAlmond,2,90
37,DarkGray,7,60
48,OldLace,0,0
33,DeepPink,2,16
49,Moccasin,0,270
40,PowderBlue,4,42
39,BurlyWood,10,113
33,LimeGreen,6,394
