id,coordenada_longitud,coordenada_latitud,direccion,construccion_fecha,institucion_ruc
0,-86.614269,-22.216053,"2786 Hall Plaza Suite 740
Cunninghamfurt, WI 09602",2018-11-03,83423591462
1,-54.135323,-28.1753045,"95912 Michael Summit Suite 315
Ryanchester, GU 71698",2021-08-16,31203008464
2,45.630955,-58.8596305,"30706 Sanders Ferry Apt. 010
Port Pamela, CO 03722",2017-06-24,60631077754
3,126.813589,-22.5857635,"884 Madeline Ramp
Lake Tiffany, LA 87677",1996-03-08,56846955256
4,-90.999721,60.805282,"929 Brown Lodge Apt. 694
Martinberg, ID 49030",2009-09-02,53975952127
5,-40.583123,21.2530625,"84176 Graham Passage Suite 394
Malloryside, AS 42637",2003-02-12,18900165368
6,-67.353387,62.033511,"35922 Ramirez Junctions
Lake Luiston, CA 42299",2023-10-07,13095294053
7,-38.415965,-58.8170285,"22143 Barbara Station
South Stacey, AR 65883",1994-09-26,25257260110
8,106.345911,0.1033485,"323 Rojas Track Suite 190
New John, IN 19128",2002-08-17,48700238026
9,-59.541176,-32.587267,"5337 Norman Summit
East Brandonport, AZ 11629",1997-03-20,19723973152
10,130.416634,-12.3038525,"78903 Sanders Isle Apt. 855
New Robertstad, LA 99583",2000-11-19,36850623937
11,-147.589177,-23.5371895,"Unit 8431 Box 3243
DPO AA 73600",1997-06-20,86608154029
12,38.202915,-21.0526925,"20543 Jackson Center
Bradfordshire, MT 12508",2017-08-25,49881055729
13,98.333174,57.931891,"5822 Scott Ports
North Joan, PW 33976",2006-12-23,91193723702
14,-33.695799,-59.264845,"01787 Connie Spur
New Lindsay, HI 84184",2006-02-13,51606694807
15,94.698112,-48.959678,"4078 Skinner Orchard
Andersonfurt, KS 78476",1996-05-31,67590115681
16,-92.808038,-52.5420665,"755 William Springs Suite 876
Port Austin, MI 00706",2006-09-06,49553443531
17,-65.725555,-71.2566715,"399 Clark Prairie
East Christopher, NM 07961",2013-03-07,32697852749
18,59.544084,-38.9824295,"963 Madison Forks
Timothyton, PA 06915",2002-03-05,40115239275
19,22.835867,-58.0495905,"424 Lee Mills
West Donnaton, WI 90670",2019-04-16,32697852749
20,-94.507363,-72.1109055,"USNV Waters
FPO AE 50203",2002-01-03,40635838694
21,-108.999157,-84.7463795,"USCGC Smith
FPO AP 16126",1995-07-06,79563271901
22,-159.343043,-49.8794235,"393 Carter Junction Suite 449
Thompsonhaven, AZ 33353",2019-10-08,21459776980
